,Solution,Rows,Cols,Threads,Time (s),Speedup,Efficiency
319,Parallel,100,100000,64.0,173.423022,6.22034969497879,0.09719296398404359
320,Thread Pool API,100,100000,64.0,173.140855,6.23048697547439,0.09735135899178735
321,Parallel,110,100000,32.0,193.880164,6.122764812598364,0.19133640039369887
322,Thread Pool API,110,100000,32.0,191.080225,6.21248298195169,0.19414009318599032
323,Parallel,110,100000,48.0,190.870833,6.219298293731447,0.1295687144527385
324,Thread Pool API,110,100000,48.0,190.92559,6.217514613939389,0.1295315544570706
325,Parallel,110,100000,64.0,190.857331,6.2197382714107015,0.09718341049079221
326,Thread Pool API,110,100000,64.0,190.850979,6.219945279924397,0.0971866449988187
327,Parallel,120,100000,32.0,209.772319,6.17110754732134,0.1928471108537919
328,Thread Pool API,120,100000,32.0,207.811793,6.229326653276121,0.19466645791487877
329,Parallel,120,100000,48.0,207.904952,6.226535388151793,0.12971948725316235
330,Thread Pool API,120,100000,48.0,207.856593,6.227984026467709,0.12974966721807726
331,Parallel,120,100000,64.0,208.024915,6.22294469390842,0.09723351084231906
332,Thread Pool API,120,100000,64.0,208.001836,6.2236351654126745,0.09724429945957304
